name,id,class,mass,fall,year,latitude,longitude,class_cat
Esquel,10054,"Pallasite, PMG",755.0,Found,1951,-42.9,-71.33333,Stony-Iron Meteorites - Pallasites
Gladstone (iron),10920,"Iron, IAB-MG",736.6,Found,1915,-23.9,151.3,Iron Meteorites - Category I
Mount Dooling,16771,"Iron, IC",734.0,Found,1909,-29.45,119.71667,Other Categories
Krasnojarsk,12356,"Pallasite, PMG-an",700.0,Found,1749,54.9,91.8,Stony-Iron Meteorites - Pallasites
Plainview (1917),18841,H5,700.0,Found,1917,34.11667,-101.78333,Stony Meteorites - Chondrites
Davis Mountains,6615,"Iron, IIIAB",689.0,Found,1903,30.75,-104.25,Iron Meteorites - Category I
Arispe,2332,"Iron, IC",683.0,Found,1896,30.33333,-109.98333,Other Categories
Zerhamra,30403,"Iron, IIIAB-an",630.0,Found,1967,29.85861,-2.645,Iron Meteorites - Category I
La Caille,12393,"Iron, ungrouped",626.0,Found,1828,43.73333,6.78333,Iron Meteorites - Category U (Uncategorized)
Jianshi,12087,"Iron, IIIAB",600.0,Fell,1890,30.80833,109.5,Iron Meteorites - Category I
Adzhi-Bogdo (iron),389,"Iron, IAB complex",582.0,Found,1952,44.86667,95.41667,Iron Meteorites - Category I
Long Island,14694,L6,564.0,Found,1891,39.93333,-99.6,Stony Meteorites - Chondrites
Jiddat al Harasis 073,12135,L6,550.0,Found,2002,19.7,55.73333,Stony Meteorites - Chondrites
Rateldraai,22397,"Iron, IIIAB",549.0,Found,1909,-28.83333,21.13333,Iron Meteorites - Category I
Drum Mountains,7733,"Iron, IIIAB",529.0,Found,1944,39.5,-112.9,Iron Meteorites - Category I
Grant,10957,"Iron, IIIAB",525.0,Found,1929,35.16667,-107.88333,Iron Meteorites - Category I
Tamentit,23798,"Iron, IIIAB",510.0,Found,1864,27.71667,-0.25,Iron Meteorites - Category I
Trenton,24045,"Iron, IIIAB",505.0,Found,1858,43.36667,-88.13333,Iron Meteorites - Category I
Haig,11471,"Iron, IIIAB",503.0,Found,1951,-31.38333,125.63333,Iron Meteorites - Category I
Boxhole,5126,"Iron, IIIAB",500.0,Found,1937,-22.61667,135.2,Iron Meteorites - Category I
Ochansk,17979,H4,500.0,Fell,1887,57.78333,55.26667,Stony Meteorites - Chondrites
El Timbu,7820,Iron,500.0,Found,1942,-33.11667,-60.96667,Other Categories
Prambanan,18884,"Iron, ungrouped",500.0,Found,1797,-7.56667,110.83333,Iron Meteorites - Category U (Uncategorized)
Wildara,24265,H5,500.0,Found,1968,-28.23333,120.85,Stony Meteorites - Chondrites
Knyahinya,12335,L/LL5,500.0,Fell,1866,48.9,22.4,Stony Meteorites - Chondrites
